,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
56,0 days 00:56:14.914000,27.2,44.0,1008.0,False,31.9,37,3.6
57,0 days 00:57:14.902000,27.2,44.0,1008.0,False,31.9,20,3.2
59,0 days 00:59:14.935000,27.1,45.0,1008.0,False,31.8,19,2.8
61,0 days 01:01:14.946000,27.1,46.0,1008.1,False,31.9,23,2.2
62,0 days 01:02:14.964000,27.0,46.0,1008.0,False,31.6,344,2.1
64,0 days 01:04:14.958000,27.0,46.0,1008.0,False,31.9,17,1.2
66,0 days 01:06:14.952000,27.0,46.0,1008.1,False,32.0,26,2.4
67,0 days 01:07:14.969000,27.0,46.0,1008.1,False,32.0,34,2.6
69,0 days 01:09:14.952000,27.0,45.0,1008.0,False,32.0,38,2.6
71,0 days 01:11:14.958000,27.0,45.0,1008.1,False,31.8,16,1.9
72,0 days 01:12:14.980000,27.0,46.0,1008.0,False,31.7,14,2.5
74,0 days 01:14:14.998000,26.9,46.0,1008.0,False,31.5,21,1.9
76,0 days 01:16:14.964000,26.9,46.0,1008.1,False,31.9,36,1.2
77,0 days 01:17:14.978000,26.9,46.0,1008.0,False,31.9,39,1.1
79,0 days 01:19:14.992000,26.9,47.0,1008.1,False,31.7,14,2.0
81,0 days 01:21:14.976000,26.8,47.0,1008.0,False,31.4,16,2.7
82,0 days 01:22:15.013000,26.8,48.0,1008.0,False,31.2,23,2.6
84,0 days 01:24:15.061000,26.7,48.0,1008.1,False,31.2,25,2.2
86,0 days 01:26:15.055000,26.8,48.0,1008.1,False,31.1,28,2.1
87,0 days 01:27:15.050000,26.7,48.0,1008.1,False,31.1,26,2.3
89,0 days 01:29:15.064000,26.7,48.0,1008.1,False,31.0,26,2.2
91,0 days 01:31:15.072000,26.7,47.0,1008.2,False,31.2,247,1.1
92,0 days 01:32:15.083000,26.7,47.0,1008.3,False,31.2,40,0.7
94,0 days 01:34:15.112000,26.7,47.0,1008.2,False,31.1,16,2.0
95,0 days 01:35:15.113000,26.7,46.0,1008.2,False,31.1,57,1.9
97,0 days 01:37:15.113000,26.7,46.0,1008.1,False,31.1,37,2.1
99,0 days 01:39:15.151000,26.7,47.0,1008.1,False,30.8,6,2.0
100,0 days 01:40:15.130000,26.7,47.0,1008.1,False,30.9,38,2.3
102,0 days 01:42:15.161000,26.7,46.0,1008.2,False,31.1,14,2.7
104,0 days 01:44:15.181000,26.7,47.0,1008.3,False,31.2,57,1.1
105,0 days 01:45:15.201000,26.8,46.0,1008.3,False,31.3,61,1.4
107,0 days 01:47:15.197000,26.8,46.0,1008.3,False,31.0,60,1.0
109,0 days 01:49:15.187000,26.9,45.0,1008.3,False,30.9,14,1.8
111,0 days 01:51:15.202000,26.8,46.0,1008.3,False,30.8,62,1.9
114,0 days 01:54:15.201000,26.7,46.0,1008.4,False,30.6,52,2.9
