,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
56,0 days 00:56:26.041000,14.3,77.0,1009.5,False,21.0,231,0.9
58,0 days 00:58:26.033000,14.2,77.0,1009.5,False,20.8,118,0.7
59,0 days 00:59:26.033000,14.3,77.0,1009.5,False,20.8,319,1.5
61,0 days 01:01:26.050000,14.3,77.0,1009.5,False,20.9,239,1.1
62,0 days 01:02:26.034000,14.3,77.0,1009.4,False,20.7,317,1.5
64,0 days 01:04:26.066000,14.3,77.0,1009.2,False,20.7,60,1.1
66,0 days 01:06:26.083000,14.3,78.0,1009.3,False,20.6,339,1.4
67,0 days 01:07:26.090000,14.3,77.0,1009.2,False,20.7,341,2.3
69,0 days 01:09:26.087000,14.3,78.0,1009.2,False,20.7,238,1.2
70,0 days 01:10:26.097000,14.3,77.0,1009.2,False,20.7,336,1.7
72,0 days 01:12:26.111000,14.3,78.0,1009.2,False,20.6,342,0.8
73,0 days 01:13:26.124000,14.3,78.0,1009.2,False,20.2,256,1.1
75,0 days 01:15:26.110000,14.3,78.0,1009.2,False,20.4,333,1.0
76,0 days 01:16:26.125000,14.3,78.0,1009.2,False,20.4,333,1.0
78,0 days 01:18:26.132000,14.3,77.0,1009.2,False,20.3,333,1.3
80,0 days 01:20:26.165000,14.5,76.0,1009.2,False,20.1,71,1.8
81,0 days 01:21:26.143000,14.5,76.0,1009.2,False,19.9,213,1.6
83,0 days 01:23:26.144000,14.4,77.0,1009.1,False,20.0,281,1.9
84,0 days 01:24:26.145000,14.4,77.0,1009.1,False,20.1,189,1.3
86,0 days 01:26:26.144000,14.4,76.0,1009.3,False,20.1,322,0.9
87,0 days 01:27:26.137000,14.5,77.0,1009.2,False,20.0,349,1.0
89,0 days 01:29:26.137000,14.4,77.0,1009.1,False,20.0,342,1.4
91,0 days 01:31:26.185000,14.5,77.0,1009.2,False,20.0,346,1.0
92,0 days 01:32:26.201000,14.5,77.0,1009.2,False,19.9,332,0.9
94,0 days 01:34:26.184000,14.4,77.0,1009.1,False,19.6,246,0.7
95,0 days 01:35:26.172000,14.4,77.0,1009.1,False,19.6,316,1.6
97,0 days 01:37:26.188000,14.4,77.0,1009.1,False,19.6,274,1.1
99,0 days 01:39:26.221000,14.5,78.0,1009.2,False,19.5,325,0.5
100,0 days 01:40:26.212000,14.5,78.0,1009.1,False,19.5,268,0.7
102,0 days 01:42:26.235000,14.6,77.0,1009.1,False,19.7,330,0.7
103,0 days 01:43:26.235000,14.6,77.0,1009.1,False,19.7,333,0.7
105,0 days 01:45:26.236000,14.6,77.0,1009.0,False,19.5,335,1.2
106,0 days 01:46:26.252000,14.6,77.0,1009.0,False,19.4,47,1.4
