,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:57:41.632000,VER,1,0 days 00:01:34.725000,1.0,1.0,,,,41.962,18.147,,0 days 00:57:23.704000,0 days 00:57:41.736000,281.0,295.0,262.0,293.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:56:06.651000,2025-04-06 05:03:47.081,1,1.0,False,,False,False,94.725,
1,0 days 00:59:15.575000,VER,1,0 days 00:01:33.943000,2.0,1.0,,,33.894,42.026,18.023,0 days 00:58:15.547000,0 days 00:58:57.573000,0 days 00:59:15.596000,279.0,296.0,262.0,295.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:57:41.632000,2025-04-06 05:05:22.062,1,1.0,False,,False,True,93.943,93.943
2,0 days 01:00:49.214000,VER,1,0 days 00:01:33.639000,3.0,1.0,,,33.567,42.027,18.045,0 days 00:59:49.163000,0 days 01:00:31.190000,0 days 01:00:49.235000,282.0,296.0,262.0,296.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:59:15.575000,2025-04-06 05:06:56.005,1,1.0,False,,False,True,93.639,93.639
3,0 days 01:02:22.958000,VER,1,0 days 00:01:33.744000,4.0,1.0,,,33.57,42.14,18.034,0 days 01:01:22.805000,0 days 01:02:04.945000,0 days 01:02:22.979000,283.0,296.0,263.0,296.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:00:49.214000,2025-04-06 05:08:29.644,1,1.0,False,,False,True,93.744,93.744
4,0 days 01:03:56.734000,VER,1,0 days 00:01:33.776000,5.0,1.0,,,33.486,42.157,18.133,0 days 01:02:56.465000,0 days 01:03:38.622000,0 days 01:03:56.755000,,297.0,263.0,298.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:02:22.958000,2025-04-06 05:10:03.388,1,1.0,False,,False,True,93.776,93.776
5,0 days 01:05:30.380000,VER,1,0 days 00:01:33.646000,6.0,1.0,,,33.319,42.252,18.075,0 days 01:04:30.074000,0 days 01:05:12.326000,0 days 01:05:30.401000,,297.0,263.0,297.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:03:56.734000,2025-04-06 05:11:37.164,1,1.0,False,,False,True,93.646,93.646
6,0 days 01:07:03.906000,VER,1,0 days 00:01:33.526000,7.0,1.0,,,33.193,42.278,18.055,0 days 01:06:03.594000,0 days 01:06:45.872000,0 days 01:07:03.927000,281.0,296.0,263.0,297.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:05:30.380000,2025-04-06 05:13:10.810,1,1.0,False,,False,True,93.526,93.52600000000001
7,0 days 01:08:37.442000,VER,1,0 days 00:01:33.536000,8.0,1.0,,,33.13,42.336,18.07,0 days 01:07:37.057000,0 days 01:08:19.393000,0 days 01:08:37.463000,284.0,296.0,263.0,297.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:07:03.906000,2025-04-06 05:14:44.336,1,1.0,False,,False,True,93.536,93.536
8,0 days 01:10:10.971000,VER,1,0 days 00:01:33.529000,9.0,1.0,,,33.067,42.336,18.126,0 days 01:09:10.530000,0 days 01:09:52.866000,0 days 01:10:10.992000,282.0,297.0,262.0,297.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:08:37.442000,2025-04-06 05:16:17.872,1,1.0,False,,False,True,93.529,93.529
9,0 days 01:11:44.526000,VER,1,0 days 00:01:33.555000,10.0,1.0,,,33.118,42.367,18.07,0 days 01:10:44.110000,0 days 01:11:26.477000,0 days 01:11:44.547000,,297.0,262.0,298.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:10:10.971000,2025-04-06 05:17:51.401,1,1.0,False,,False,True,93.555,93.555
10,0 days 01:13:18.024000,VER,1,0 days 00:01:33.498000,11.0,1.0,,,33.132,42.299,18.067,0 days 01:12:17.679000,0 days 01:12:59.978000,0 days 01:13:18.045000,,297.0,263.0,298.0,True,MEDIUM,11.0,True,Red Bull Racing,0 days 01:11:44.526000,2025-04-06 05:19:24.956,1,1.0,False,,False,True,93.498,93.49799999999999
11,0 days 01:14:51.667000,VER,1,0 days 00:01:33.643000,12.0,1.0,,,33.046,42.461,18.136,0 days 01:13:51.091000,0 days 01:14:33.552000,0 days 01:14:51.688000,284.0,297.0,263.0,298.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:13:18.024000,2025-04-06 05:20:58.454,1,1.0,False,,False,True,93.643,93.643
12,0 days 01:16:25.307000,VER,1,0 days 00:01:33.640000,13.0,1.0,,,33.035,42.473,18.132,0 days 01:15:24.723000,0 days 01:16:07.196000,0 days 01:16:25.328000,283.0,297.0,263.0,297.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:14:51.667000,2025-04-06 05:22:32.097,1,1.0,False,,False,True,93.64,93.64
13,0 days 01:17:58.687000,VER,1,0 days 00:01:33.380000,14.0,1.0,,,32.875,42.429,18.076,0 days 01:16:58.203000,0 days 01:17:40.632000,0 days 01:17:58.708000,284.0,297.0,263.0,298.0,True,MEDIUM,14.0,True,Red Bull Racing,0 days 01:16:25.307000,2025-04-06 05:24:05.737,1,1.0,False,,False,True,93.38,93.38
14,0 days 01:19:32.055000,VER,1,0 days 00:01:33.368000,15.0,1.0,,,32.898,42.373,18.097,0 days 01:18:31.606000,0 days 01:19:13.979000,0 days 01:19:32.076000,285.0,297.0,263.0,299.0,True,MEDIUM,15.0,True,Red Bull Racing,0 days 01:17:58.687000,2025-04-06 05:25:39.117,1,1.0,False,,False,True,93.368,93.368
15,0 days 01:21:05.486000,VER,1,0 days 00:01:33.431000,16.0,1.0,,,32.825,42.538,18.068,0 days 01:20:04.901000,0 days 01:20:47.439000,0 days 01:21:05.507000,284.0,297.0,263.0,298.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:19:32.055000,2025-04-06 05:27:12.485,1,1.0,False,,False,True,93.431,93.431
16,0 days 01:22:39.028000,VER,1,0 days 00:01:33.542000,17.0,1.0,,,32.841,42.557,18.144,0 days 01:21:38.348000,0 days 01:22:20.905000,0 days 01:22:39.049000,,298.0,263.0,298.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:21:05.486000,2025-04-06 05:28:45.916,1,1.0,False,,False,True,93.542,93.542
17,0 days 01:24:12.381000,VER,1,0 days 00:01:33.353000,18.0,1.0,,,32.785,42.491,18.077,0 days 01:23:11.834000,0 days 01:23:54.325000,0 days 01:24:12.402000,285.0,298.0,263.0,297.0,True,MEDIUM,18.0,True,Red Bull Racing,0 days 01:22:39.028000,2025-04-06 05:30:19.458,1,1.0,False,,False,True,93.353,93.353
18,0 days 01:25:45.739000,VER,1,0 days 00:01:33.358000,19.0,1.0,,,32.745,42.482,18.131,0 days 01:24:45.147000,0 days 01:25:27.629000,0 days 01:25:45.760000,284.0,298.0,264.0,298.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:24:12.381000,2025-04-06 05:31:52.811,1,1.0,False,,False,True,93.358,93.358
19,0 days 01:27:18.803000,VER,1,0 days 00:01:33.064000,20.0,1.0,,,32.474,42.472,18.118,0 days 01:26:18.234000,0 days 01:27:00.706000,0 days 01:27:18.824000,285.0,298.0,264.0,298.0,True,MEDIUM,20.0,True,Red Bull Racing,0 days 01:25:45.739000,2025-04-06 05:33:26.169,1,1.0,False,,False,True,93.064,93.064
